L*,a*,b*
44.3339,0.732,11.6008
43.347,0.729,11.2664
43.106,0.7301,10.5195
42.9605,0.874,11.2295
42.6141,0.8327,11.5386
44.2144,0.6686,10.8878
43.1666,0.7888,11.2143
43.7246,0.8172,11.1391
44.2552,0.7236,10.8113
43.6381,0.8027,11.15
47.2378,0.6049,9.4791
44.1041,0.7803,11.083
44.714,0.8583,10.465
44.2158,0.4227,8.7792
46.536,0.7574,10.3731
44.124,0.6191,10.9845
46.0511,0.4234,7.8348
43.2884,0.6671,10.8912
42.9054,0.7104,11.3446
45.6987,0.5532,8.6903
43.5377,0.7908,10.8061
42.0519,0.8136,10.9959
43.9606,0.5693,10.1098
44.144,0.7488,10.7918
43.461,0.6398,10.6833
43.9345,0.6413,9.9959
43.2278,0.5897,10.6964
44.5768,0.5766,9.7736
43.4724,0.629,10.0859
43.7285,0.6832,10.2319
43.3967,0.6324,10.4652
45.1655,0.4675,8.635
43.3532,0.8127,10.9476
43.5366,0.6138,10.7254
43.2096,0.6312,10.6772
46.5875,0.4313,7.4727
46.2066,0.4417,8.6226
43.0502,0.802,11.214
44.5251,0.7122,9.7045
43.0386,0.694,10.661
43.3401,0.696,11.1329
44.2365,0.7372,10.1064
42.7589,0.6122,9.6867
42.8607,0.5871,11.3178
44.1461,0.738,10.4158
42.6679,0.5262,10.9596
45.953,0.2681,8.3909
43.5914,0.5809,10.8546
42.3103,0.6309,11.055
42.3549,0.7356,11.2332
42.6671,0.4714,10.7242
43.108,0.6207,10.3961
42.8889,0.5345,10.0841
42.8073,0.5671,11.3443
42.5659,0.4597,9.3902
44.3965,0.5542,11.0867
44.6493,0.7218,11.1934
42.8994,0.615,11.1592
42.6545,0.6075,10.6599
42.8786,0.4597,10.2609
46.5827,0.426,8.261
43.6344,0.6307,10.8068
42.8254,0.4956,10.8128
42.2944,0.4922,10.9057
43.2496,0.5479,10.8743
42.9654,0.349,10.0101
44.9961,0.3908,8.7428
42.2154,0.431,10.4723
42.2227,0.5141,10.3186
43.7391,0.4512,11.1951
47.5492,0.5113,10.9861
47.5049,0.5471,11.6674
47.4566,0.7776,10.7279
43.5106,0.6831,9.154
42.5365,0.6183,10.1417
42.1346,0.5327,9.81
42.548,0.4974,10.4745
41.7754,0.4507,10.105
41.8848,0.2583,9.6023
45.1679,0.5733,12.0694
43.3595,0.6954,11.1926
43.571,0.4709,10.0093
41.7817,0.6871,10.6607
42.6413,0.5404,10.2676
42.9677,0.6136,10.3389
42.9338,0.5008,9.2362
42.5111,0.5432,10.2363
46.0447,0.1688,8.0316
44.728,0.632,10.5959
43.5088,0.5483,10.8594
43.4075,0.5523,10.3744
42.8089,0.5111,10.4201
43.4708,0.5251,10.8899
43.0113,0.5355,10.6832
43.8899,0.5708,10.685
47.8764,0.3691,6.9189
46.9073,0.6919,9.8077
45.1932,0.5975,11.969
45.8205,0.7224,11.9477
45.9479,0.6104,11.378
45.7982,0.6495,11.1435
49.6079,0.4196,9.8325
45.6705,0.4906,11.2233
44.8253,0.6387,11.3423
45.0757,0.4846,10.5732
44.7653,0.6937,10.4391
44.4903,0.6842,10.5641
44.5499,0.6664,11.266
44.4039,0.716,11.2192
43.4946,0.7865,11.3415
47.8959,0.2592,8.7727
45.1372,0.4789,9.4257
44.0234,0.646,10.792
44.812,0.6185,11.3003
46.2444,0.6051,9.2117
44.0814,0.69,10.8562
45.3329,0.5938,10.2055
44.9061,0.727,11.8328
45.2612,0.6838,12.3536
45.0423,0.6345,11.8173
45.2675,0.5987,11.2088
44.9762,0.684,12.1785
46.1121,0.4704,10.4723
45.0962,0.7457,11.9273
44.4957,0.7475,12.0848
45.043,0.7687,10.6555
45.1564,0.7232,10.3622
45.2406,0.6544,11.7537
45.6596,0.6247,10.2835
45.9901,0.6824,11.9036
45.4239,0.5586,11.0755
46.3439,0.4628,10.3533
45.5125,0.7148,12.0281
45.2704,0.6818,12.0496
45.3259,0.6957,12.0669
46.9558,0.6379,10.2664
45.4774,0.4977,9.8047
46.1465,0.6872,10.8721
45.159,0.791,11.5122
48.0612,0.2391,8.8466
46.2681,0.6798,11.9923
45.3836,0.7309,12.2715
45.6643,0.6822,12.3045
45.5788,0.7015,12.1829
44.8222,0.6367,11.8054
45.3612,0.6018,11.8508
45.9052,0.591,12.2507
45.7594,0.7218,12.2564
46.421,0.6144,10.9369
45.856,0.6962,10.8782
45.6172,0.7548,12.0094
45.6768,0.7733,11.731
45.6552,0.6442,12.2792
45.7326,0.6732,12.0286
45.685,0.6034,11.1719
45.3305,0.7103,11.4077
45.5517,0.3621,9.6072
51.3471,0.4433,8.6774
50.942,0.4077,8.3896
45.9093,0.6435,11.5611
44.7647,0.8043,11.7232
45.0845,0.6843,11.5377
46.3688,0.7343,11.8991
44.8804,0.6972,11.4104
44.8327,0.6495,11.6333
44.9442,0.5744,11.6889
45.3956,0.7266,11.871
45.5018,0.6755,11.9493
47.5197,0.315,9.2509
46.1293,0.7771,11.9925
45.162,0.7606,11.7487
45.4175,0.6284,9.8746
44.9625,0.5732,10.5938
45.3923,0.6956,11.333
44.8493,0.7038,11.7572
44.9607,0.7681,11.8222
43.5301,0.5297,10.6733
45.653,0.5396,9.6037
46.1125,0.5353,12.0422
47.797,0.7756,12.7167
47.1801,0.5753,12.6899
48.7471,0.5048,13.3742
46.0637,0.7577,12.5406
46.6013,0.654,11.1992
46.8104,0.5774,11.1508
46.2794,0.781,12.4159
45.6773,0.8895,12.5414
44.9698,0.7618,11.9326
44.6554,0.6919,11.9453
44.6727,0.6947,11.7292
45.4398,0.6779,11.8063
45.6569,0.7299,12.1912
45.9422,0.7068,12.1744
46.0392,0.6828,12.0801
45.942,0.8213,12.4421
45.8018,0.7609,12.1583
45.9058,0.7014,12.0684
46.0174,0.7531,12.3779
46.1226,0.8,12.408
46.2897,0.8698,12.5146
45.177,0.8388,12.056
44.336,0.7127,12.4323
45.1903,0.8119,12.4839
46.6529,0.5763,12.7185
47.016,0.6967,13.0966
47.0081,0.6988,13.0284
46.2655,0.5266,12.3974
46.9693,0.7108,12.9805
47.2494,0.6533,13.1485
47.4709,0.6839,13.1814
47.3579,0.4988,12.7714
47.798,0.615,13.2166
47.1141,0.6244,12.7045
47.4737,0.5522,12.8472
47.5869,0.7054,13.3095
48.0686,0.6468,13.4495
47.3612,0.5493,12.891
47.7378,0.5994,13.3198
47.7015,0.5876,13.4077
47.7169,0.5354,13.2189
47.3635,0.5254,12.9593
48.88,0.3693,13.3503
48.379,0.6357,13.6293
47.3733,0.681,13.0692
47.6248,0.6571,13.1528
47.4765,0.4912,12.8094
47.5901,0.5314,12.9318
47.8754,0.4971,13.1708
48.4753,0.5521,13.5339
49.0866,0.5121,13.6171
48.3242,0.5812,13.6007
48.8712,0.4794,13.4441
47.9109,0.6164,13.4685
48.0459,0.5527,13.449
47.8296,0.6448,13.4956
47.9614,0.6861,13.6726
48.3032,0.6248,13.7239
48.5608,0.6426,13.7373
48.9289,0.5034,13.621
48.1757,0.6152,13.5405
48.6229,0.4491,13.3656
48.5863,0.4758,13.4229
49.0421,0.6201,13.8462
49.3712,0.4564,13.6162
48.6254,0.5783,13.5011
49.4338,0.4396,13.6076
49.467,0.4726,13.4901
48.3184,0.5364,13.2598
48.6762,0.5198,13.433
49.082,0.4752,13.5664
48.3274,0.5614,13.2322
47.9679,0.6077,13.1925
48.1754,0.5639,13.2929
48.2355,0.5902,13.2149
48.8101,0.5051,13.2813
48.4369,0.5356,13.1395
49.5806,0.4365,13.5238
48.0784,0.4041,12.6982
48.0085,0.5329,13.2604
48.4733,0.6299,13.5945
49.5307,0.3908,13.5268
49.9293,0.306,13.4429
49.5478,0.6179,14.0297
48.9715,0.6578,13.7001
48.6295,0.6044,13.267
48.9774,0.4481,13.3521
49.1002,0.4684,13.5087
49.2172,0.4351,13.5321
49.3268,0.345,13.3661
49.3187,0.3662,13.2726
49.2644,0.4578,13.4485
49.2115,0.4764,13.2475
49.774,0.481,13.2987
49.6316,0.411,13.5906
49.65,0.4576,13.4703
49.1464,0.4357,13.5006
49.4923,0.3315,13.1844
50.1908,0.3847,13.6145
49.5274,0.3388,13.4136
49.4185,0.3864,13.5019
49.4969,0.3818,13.3672
49.7363,0.3833,13.2792
49.9826,0.2701,13.5996
50.4428,0.3725,13.6606
52.0189,0.2662,11.3237
50.7061,0.4276,13.5291
51.0465,0.5398,13.8397
50.5974,0.5453,13.559
49.1568,0.6362,13.3835
47.9427,0.4236,12.5146
49.6688,0.499,13.2625
49.9894,0.2836,12.9695
50.3542,0.4473,13.4192
50.8818,0.4141,13.3544
51.2821,0.4262,13.5313
49.9745,0.548,13.6254
50.128,0.2878,12.8299
51.6717,0.4065,14.1998
50.2698,0.4745,14.3866
49.8426,0.424,13.8775
50.0112,0.4503,13.9529
50.2071,0.4511,13.6078
50.1955,0.5346,14.1755
50.1114,0.4979,14.0574
50.0721,0.5295,13.9877
49.8849,0.5518,13.9845
49.3114,0.3938,13.5113
50.4082,0.6662,14.2177
50.0634,0.4032,13.6427
50.7735,0.2414,13.6112
50.8004,0.2866,13.9747
51.6562,0.4276,14.2144
51.5814,0.4053,12.6506
50.6486,0.4156,13.9526
51.3869,0.2589,12.7608
50.4335,0.4364,14.2093
50.1284,0.5349,13.9727
49.9045,0.5244,14.0977
50.0048,0.5334,13.7378
49.1616,0.5077,13.3597
49.0198,0.459,13.418
50.239,0.4103,13.6808
50.0585,0.4115,13.6889
50.875,0.3297,12.7269
50.8883,0.4703,13.7668
50.3669,0.3783,14.0318
50.8791,0.3475,13.9145
49.7564,0.3247,13.2108
50.716,0.3923,13.8209
50.9403,0.2702,13.6519
50.7907,0.3872,13.2326
51.1695,0.3231,14.0641
51.4919,0.3866,13.238
51.2103,0.3153,14.0079
51.0404,0.3816,14.1551
51.5026,0.3039,13.2567
51.6545,0.291,13.1679
51.3486,0.2189,13.6131
51.5976,0.2784,13.8716
50.7186,0.2872,13.7817
50.9127,0.3568,13.4091
49.7816,0.4357,13.0647
51.1934,0.2329,14.5208
51.413,0.3173,14.3157
50.5075,0.4145,13.9465
51.179,0.2831,14.333
50.7867,0.2673,14.2203
51.2611,0.2652,14.4165
51.5504,0.2652,14.3582
50.2438,0.5412,14.2553
50.4226,0.3871,14.0587
51.1368,0.3676,14.1045
50.4468,0.4392,13.9167
50.2642,0.3607,14.0047
50.6365,0.3144,13.7914
50.8146,0.3377,13.8
50.7742,0.3513,14.0023
